city,white/black b0,,White-hispanic,White-black,hispanic/black,,Hispanic-white,Hispanic-black
nyc,-1.0231878467,0,-4.6417785206,-7.9399803902,1.5906735338,0,-1.3483659185,-5.4002260666
san_francisco,2.9627278126,0,-3.0200351522,-7.764233729,1.1188043794,0,-2.221889112,-6.5116572873
boston,0.8217631164,0,-4.9858576331,-7.1197632205,0.5610648867,0,-1.0816494347,-3.8240438534
chicago,-0.173120528,0,-3.1364770645,-7.0626086075,0.4877323033,0,-2.5968855378,-6.991759664
detroit,-3.2568594114,0,-2.3800247923,-6.8825051091,-4.36438619,0,-3.5218878658,-8.3024926578
seattle,2.8859991076,0,-5.7337265073,-6.7696256021,0.3381972339,0,-0.2271198335,-3.6929580411
dc,-2.8141129383,0,-4.7037747008,-6.7562098721,-2.9495259605,0,-2.3288437575,-6.1393325681
philadelphia,-2.8064097169,0,-4.312073227,-6.6722617016,-3.0720393983,0,-2.8326576503,-6.440759552
columbus,1.2601588824,0,-1.9228531384,-6.2666732173,-1.001188087,0,-0.0344594088,-1.8667817847
memphis,-2.9075064144,0,-2.6716714821,-6.1234363591,-3.4029154253,0,-6.2784504029,-8.9205988252
charlotte,-1.8637650441,0,-4.9067701659,-5.7514128609,-2.0678845227,0,-2.97258062,-5.5885050868
jacksonville,-2.4284408558,0,-1.7210108518,-5.5318726173,-3.1010109266,0,0.5443728593,-2.9045342753
la,-0.7426232913,0,-3.6773604743,-4.5218094181,1.9512326168,0,-1.4794034578,-4.495747475
nashville,-0.3495637172,0,-3.6409043319,-4.4959062885,-1.8477180206,0,-2.2319593404,-5.3075487976
dallas,-0.9308210072,0,-4.3871594206,-4.3076911941,0.5817172611,0,-3.8613338262,-3.9885934801
denver,1.8501770569,0,-4.3952383612,-3.993822931,0.3747867259,0,-2.2636297447,-3.9194290019
austin,1.3340540418,0,-3.1628956645,-1.9992912037,1.5389612626,0,-2.1293250514,-0.3024266591
el_paso,1.8684845971,0,0.9980227418,-1.7205145023,4.4176194022,0,-7.4055702812,-5.0118844911
san_diego,1.9684903122,0,-4.3957371428,-1.7069684325,0.7911916518,0,-2.0017332834,-0.8588056815
phoenix,2.0865093145,0,-3.456387892,-1.0183000336,1.3940238553,0,-2.1729630379,-0.7366635952
san_jose,1.0942306596,0,-2.5165226049,-0.8619583752,3.1177253774,0,-2.6233500932,-0.2791622988
